file,function,lineno,has_doc
"scripts/CAD_basic.py","test_draw_circle_and_wait",638,1
"scripts/CAD_basic.py","wait_quiescent_ceshi",719,1
"scripts/CAD_basic.py","complex_operation_demo",740,1
"scripts/CAD_basic.py","draw_infinite_spiral",814,0
"scripts/CAD_basic.py","speak_msg",893,1
"scripts/CAD_basic.py","com_to_handle",929,1
"scripts/CAD_basic.py","serialize",941,1
"scripts/CAD_basic.py","save_print_dict_generic",955,1
"scripts/CAD_basic.py","load",970,1
"scripts/CAD_basic.py","current_dwg_basename",990,1
"scripts/CAD_basic.py","current_dwg_folder",999,1
"scripts/CAD_basic.py","vtpnt",1044,1
"scripts/CAD_basic.py","vtobj",1048,1
"scripts/CAD_basic.py","vtFloat",1052,1
"scripts/CAD_basic.py","vtInt",1056,1
"scripts/CAD_basic.py","vtVariant",1060,1
"scripts/CAD_basic.py","ConvertArrays2Variant",1064,0
"scripts/CAD_basic.py","vtlist",1078,1
"scripts/CAD_basic.py","start_applicationV9",1095,1
"scripts/CAD_basic.py","force_show_cad_interface",1186,1
"scripts/CAD_basic.py","st",1219,0
"scripts/CAD_basic.py","get_acad_process_id",1243,0
"scripts/CAD_basic.py","jingchengshu_wenjian",1252,0
"scripts/CAD_basic.py","close_all_cad_processes",1271,1
"scripts/CAD_basic.py","close_oldest_cad_process",1332,0
"scripts/CAD_basic.py","ensure_typelib_from_running",1355,1
"scripts/CAD_basic.py","_ComLiveProxy.__init__",1364,0
"scripts/CAD_basic.py","_ComLiveProxy.__getattr__",1365,0
"scripts/CAD_basic.py","_ComLiveProxy.__dir__",1369,0
"scripts/CAD_basic.py","zoom_window",1377,0
"scripts/CAD_basic.py","aci_to_rgb",1388,0
"scripts/CAD_basic.py","get_entity_rgb",1396,1
"scripts/CAD_basic.py","chongfu_caozuo",1448,1
"scripts/CAD_basic.py","simple_timer",1515,0
"scripts/CAD_basic.py","_coinit_once",1535,1
"scripts/CAD_basic.py","get_acad_doc",1542,1
"scripts/CAD_basic.py","normalize_rect",1622,0
"scripts/CAD_basic.py","get_pmxz_group_bbox",1770,1
"scripts/CAD_basic.py","g",1831,0
"scripts/CAD_basic.py","align_last_ms_obj_lb_to_origin",1837,1
"scripts/CAD_basic.py","get_entity_full_info",1905,1
"scripts/CAD_basic.py","compute_line_angle",2021,1
"scripts/CAD_basic.py","draw_point",2044,1
"scripts/CAD_basic.py","draw_line",2063,1
"scripts/CAD_basic.py","draw_circle",2082,1
"scripts/CAD_basic.py","draw_regular_polygon",2102,1
"scripts/CAD_basic.py","prioritize_horizontal",2134,1
"scripts/CAD_basic.py","get_spline_length_by_conversion",2157,1
"scripts/CAD_basic.py","estimate_ellipse_length",2195,1
"scripts/CAD_basic.py","get_entity_geometry_info",2214,1
"scripts/CAD_basic.py","points_on_line_at_distance_3d",2303,1
"scripts/CAD_basic.py","find_fake_intersection_regions",2344,1
"scripts/CAD_basic.py","lines_daduan",2410,1
"scripts/CAD_basic.py","delete_duplicate_lines",2436,1
"scripts/CAD_basic.py","delete_redundant_lines",2488,1
"scripts/CAD_basic.py","find_isolated_intersections",2566,1
"scripts/CAD_basic.py","get_inner_point_of_polygon",2647,1
"scripts/CAD_basic.py","get_room_outline_from_point",2685,1
"scripts/CAD_basic.py","connect_lines_to_polyline_if_closed",2711,1
"scripts/CAD_basic.py","is_closed_polygon_from_lines",2787,1
"scripts/CAD_basic.py","same_point",2849,1
"scripts/CAD_basic.py","same_line",2855,1
"scripts/CAD_basic.py","calculate_absolute_angle",2872,1
"scripts/CAD_basic.py","calculate_relative_angle",2888,1
"scripts/CAD_basic.py","find_lines_angle",2925,1
"scripts/CAD_basic.py","find_lines_sharing_point",2966,1
"scripts/CAD_basic.py","find_successor_line_max",2999,1
"scripts/CAD_basic.py","find_rightbottom_point",3046,1
"scripts/CAD_basic.py","find_rightbottom_closed_polygon",3103,1
"scripts/CAD_basic.py","draw_polygon_as_polyline",3174,1
"scripts/CAD_basic.py","is_nearly_equal",3290,0
"scripts/CAD_basic.py","find_successor_line_min",3298,0
"scripts/CAD_basic.py","get_outer_contour",3349,1
"scripts/CAD_basic.py","deduplicate_vertices",3446,1
"scripts/CAD_basic.py","analyze_polygon_branches",3488,1
"scripts/CAD_basic.py","remove_lines_in_LBv",3636,1
"scripts/CAD_basic.py","process_polygons",3677,1
"scripts/CAD_basic.py","extract_polygon_from_lines",3759,1
"scripts/CAD_basic.py","explode_polylines",3832,1
"scripts/CAD_basic.py","subtract_line_sets",3862,1
"scripts/CAD_basic.py","process_final",3891,0
"scripts/CAD_basic.py","draw_lwpolyline",3973,1
"scripts/CAD_basic.py","draw_lwpolyline",4054,1
"scripts/CAD_basic.py","get_unique_vertices_from_pl_com",4113,1
"scripts/CAD_basic.py","convert_lines_to_points",4150,1
"scripts/CAD_basic.py","merge_segments_new",4175,1
"scripts/CAD_basic.py","draw_polyline",4241,1
"scripts/CAD_basic.py","lines_to_polylines",4336,1
"scripts/CAD_basic.py","find_min_point",4433,1
"scripts/CAD_basic.py","find_max_point",4451,1
"scripts/CAD_basic.py","distance",4468,1
"scripts/CAD_basic.py","define_rectangle_by_diagonal",4477,1
"scripts/CAD_basic.py","define_rectangle_by_diagonal_x",4500,1
