topic_id,source_doc,basename,title,kind_guess,owner_guess,class_guess,value_level,status,project_score,project_tags,keywords,path,notes
acadauto:ex_plotconfigurations,acadauto,ex_plotconfigurations.htm,PlotConfigurations Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,print,"aar,activex,and,ex_plotconfigurations,example,htm,plotconfigurations,reference,vba",01_extracted_html/acadauto/ex_plotconfigurations.htm,example page
acadauto:ex_refreshplotdeviceinfo,acadauto,ex_refreshplotdeviceinfo.htm,RefreshPlotDeviceInfo Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,print,"aar,activex,and,ex_refreshplotdeviceinfo,example,htm,reference,refreshplotdeviceinfo,vba",01_extracted_html/acadauto/ex_refreshplotdeviceinfo.htm,example page
acadauto:ex_setwindowtoplot,acadauto,ex_setwindowtoplot.htm,SetWindowToPlot Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,print,"aar,activex,and,ex_setwindowtoplot,example,htm,reference,setwindowtoplot,vba",01_extracted_html/acadauto/ex_setwindowtoplot.htm,example page
acadauto:ex_activeselectionset,acadauto,ex_activeselectionset.htm,ActiveSelectionSet Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,8,selection,"aar,activeselectionset,activex,and,ex_activeselectionset,example,htm,reference,vba",01_extracted_html/acadauto/ex_activeselectionset.htm,example page
acadauto:ex_addmtext,acadauto,ex_addmtext.htm,AddMtext Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,8,titleblock,"aar,activex,addmtext,and,ex_addmtext,example,htm,reference,vba",01_extracted_html/acadauto/ex_addmtext.htm,example page
acadauto:ex_addpolyline,acadauto,ex_addpolyline.htm,AddPolyline Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,8,construction,"aar,activex,addpolyline,and,ex_addpolyline,example,htm,reference,vba",01_extracted_html/acadauto/ex_addpolyline.htm,example page
acadauto:ex_pickfirstselectionset,acadauto,ex_pickfirstselectionset.htm,PickfirstSelectionSet Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,8,selection,"aar,activex,and,ex_pickfirstselectionset,example,htm,pickfirstselectionset,reference,vba",01_extracted_html/acadauto/ex_pickfirstselectionset.htm,example page
acadauto:ex_plotwithlineweights,acadauto,ex_plotwithlineweights.htm,PlotWithLineweights Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,8,"construction,print","aar,activex,and,ex_plotwithlineweights,example,htm,plotwithlineweights,reference,vba",01_extracted_html/acadauto/ex_plotwithlineweights.htm,example page
acad_aag:GUID_9C66C307_9ED1_492B_9CE5_F81F73671C88,acad_aag,GUID-9C66C307-9ED1-492B-9CE5-F81F73671C88.htm,About Accessing the Application Object (VBA/ActiveX),object,VBA/ActiveX,on_demand,medium,defer,6,document,"about,accessing,activex,application,c66c307,ce5,ed1,f81f73671c88,guid,htm,object,the,vba",01_extracted_html/acad_aag/GUID-9C66C307-9ED1-492B-9CE5-F81F73671C88.htm,useful but not first-batch core
acad_aag:GUID_1D14459F_627A_44D2_8D85_24684EB6EDA8,acad_aag,GUID-1D14459F-627A-44D2-8D85-24684EB6EDA8.htm,About Adjusting the Plot Origin (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,print,"about,activex,adjusting,d14459f,d85,eb6eda8,guid,htm,origin,plot,the,vba",01_extracted_html/acad_aag/GUID-1D14459F-627A-44D2-8D85-24684EB6EDA8.htm,useful but not first-batch core
acad_aag:GUID_755F7604_05F1_4B86_BD30_089622A5B584,acad_aag,GUID-755F7604-05F1-4B86-BD30-089622A5B584.htm,About Assigning Color to a Layer (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,construction,"a5b584,about,activex,assigning,b86,bd30,color,f7604,guid,htm,layer,vba",01_extracted_html/acad_aag/GUID-755F7604-05F1-4B86-BD30-089622A5B584.htm,useful but not first-batch core
acad_aag:GUID_89E004BA_FB12_49BC_BAAE_B2D46DB46CD2,acad_aag,GUID-89E004BA-FB12-49BC-BAAE-B2D46DB46CD2.htm,About Changing an Object's Layer (VBA/ActiveX),object,VBA/ActiveX,on_demand,medium,defer,6,construction,"about,activex,b2d46db46cd2,baae,changing,e004ba,fb12,guid,htm,layer,object,vba",01_extracted_html/acad_aag/GUID-89E004BA-FB12-49BC-BAAE-B2D46DB46CD2.htm,useful but not first-batch core
acad_aag:GUID_577D96C5_9B22_4771_87DD_38D32ACF9F09,acad_aag,GUID-577D96C5-9B22-4771-87DD-38D32ACF9F09.htm,About Clipping Blocks and Xrefs (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,titleblock,"about,activex,and,b22,blocks,clipping,d32acf9f09,d96c5,guid,htm,vba,xrefs",01_extracted_html/acad_aag/GUID-577D96C5-9B22-4771-87DD-38D32ACF9F09.htm,useful but not first-batch core
acad_aag:GUID_45654BC7_F6B5_48E9_82FD_CED83FB956C4,acad_aag,GUID-45654BC7-F6B5-48E9-82FD-CED83FB956C4.htm,About Coding Document Level Events in Environments Other Than VBA (VBA/ActiveX),event,VBA/ActiveX,on_demand,medium,defer,6,document,"about,activex,bc7,ced83fb956c4,coding,document,environments,events,f6b5,guid,htm,level,other,than,vba",01_extracted_html/acad_aag/GUID-45654BC7-F6B5-48E9-82FD-CED83FB956C4.htm,useful but not first-batch core
acad_aag:GUID_4F4377B1_07C8_4DDA_94D9_23DBF493C871,acad_aag,GUID-4F4377B1-07C8-4DDA-94D9-23DBF493C871.htm,About Coding Document Level Events in VBA (VBA/ActiveX),event,VBA/ActiveX,on_demand,low,defer,6,document,"about,activex,coding,dbf493c871,dda,document,events,f4377b1,guid,htm,level,vba",01_extracted_html/acad_aag/GUID-4F4377B1-07C8-4DDA-94D9-23DBF493C871.htm,low relevance to current project focus
acad_aag:GUID_BCE7E749_DCCB_4914_9E52_CC1265A3574F,acad_aag,GUID-BCE7E749-DCCB-4914-9E52-CC1265A3574F.htm,About Controlling the Application Window (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,document,"about,activex,application,bce7e749,cc1265a3574f,controlling,dccb,e52,guid,htm,the,vba,window",01_extracted_html/acad_aag/GUID-BCE7E749-DCCB-4914-9E52-CC1265A3574F.htm,useful but not first-batch core
acad_aag:GUID_906149DF_53E2_49F3_AC61_A79721C2C76E,acad_aag,GUID-906149DF-53E2-49F3-AC61-A79721C2C76E.htm,About Creating Attribute Definitions and Attribute References (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,titleblock,"a79721c2c76e,about,ac61,activex,and,attribute,creating,definitions,guid,htm,references,vba",01_extracted_html/acad_aag/GUID-906149DF-53E2-49F3-AC61-A79721C2C76E.htm,useful but not first-batch core
acad_aag:GUID_FD48FD40_1077_4054_8A15_CA55DADF821F,acad_aag,GUID-FD48FD40-1077-4054-8A15-CA55DADF821F.htm,About Creating an Instance of the Other Application (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,document,"a15,about,activex,application,ca55dadf821f,creating,fd48fd40,guid,htm,instance,other,the,vba",01_extracted_html/acad_aag/GUID-FD48FD40-1077-4054-8A15-CA55DADF821F.htm,useful but not first-batch core
acad_aag:GUID_888C0CC5_AE4B_4BE4_BF34_B2A3A9DC38A9,acad_aag,GUID-888C0CC5-AE4B-4BE4-BF34-B2A3A9DC38A9.htm,About Defining Blocks (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,titleblock,"about,activex,ae4b,b2a3a9dc38a9,be4,bf34,blocks,c0cc5,defining,guid,htm,vba",01_extracted_html/acad_aag/GUID-888C0CC5-AE4B-4BE4-BF34-B2A3A9DC38A9.htm,useful but not first-batch core
acad_aag:GUID_A2018D0D_2778_4823_A4A2_1A467A807F42,acad_aag,GUID-A2018D0D-2778-4823-A4A2-1A467A807F42.htm,About Distributing Your Application (VBA),topic,VBA,on_demand,medium,defer,6,document,"a2018d0d,a467a807f42,a4a2,about,application,distributing,guid,htm,vba,your",01_extracted_html/acad_aag/GUID-A2018D0D-2778-4823-A4A2-1A467A807F42.htm,useful but not first-batch core
acad_aag:GUID_78E5448F_F0DA_47FB_876E_3EA911F9FB91,acad_aag,GUID-78E5448F-F0DA-47FB-876E-3EA911F9FB91.htm,About Editing Attribute Definitions (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,titleblock,"about,activex,attribute,definitions,e5448f,ea911f9fb91,editing,f0da,guid,htm,vba",01_extracted_html/acad_aag/GUID-78E5448F-F0DA-47FB-876E-3EA911F9FB91.htm,useful but not first-batch core
acad_aag:GUID_C584A219_3E90_4D1B_B382_6000F00CE9B0,acad_aag,GUID-C584A219-3E90-4D1B-B382-6000F00CE9B0.htm,About Enabling Application Level Events (VBA/ActiveX),event,VBA/ActiveX,on_demand,medium,defer,6,document,"about,activex,application,b382,c584a219,d1b,e90,enabling,events,f00ce9b0,guid,htm,level,vba",01_extracted_html/acad_aag/GUID-C584A219-3E90-4D1B-B382-6000F00CE9B0.htm,useful but not first-batch core
acad_aag:GUID_675CFE8A_2256_4808_A1C8_186E68A69496,acad_aag,GUID-675CFE8A-2256-4808-A1C8-186E68A69496.htm,About Enabling Document Level Events in Environments Other Than VBA (VBA/ActiveX),event,VBA/ActiveX,on_demand,medium,defer,6,document,"a1c8,about,activex,cfe8a,document,e68a69496,enabling,environments,events,guid,htm,level,other,than,vba",01_extracted_html/acad_aag/GUID-675CFE8A-2256-4808-A1C8-186E68A69496.htm,useful but not first-batch core
